model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.7887689880295145,0.04774308316561766,0.6640909090909091,0.7524242424242424,0.7948678514467988,0.8200757575757576,0.922121212121212
DecisionTreeClassifier,100.0,0.8346641941465776,0.023870929704370953,0.7133757961783439,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8598726114649682,100.0,0.17221478674514226,0.04860515950517598,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.4585987261146497,100.0,0.16158250856629391,0.007757784937271099,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.2115384615384615,100.0,0.9952,0.02148431422167712,0.88,1.0,1.0,1.0,1.0,100.0,0.2778672273381904,0.01012452107550634,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.3410852713178294,100.0,0.655179855670645,0.07089986618218858,0.4865967365967366,0.6043181818181818,0.6594702665755298,0.7082954545454545,0.8057575757575757
Exponential,100.0,0.8401419011529471,0.0025019247117517617,0.821656050955414,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.15985809884705307,0.0025019247117517396,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1783439490445859,100.0,0.15969803597998386,0.0016864362775368008,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2754095370591545,0.0024992900000572566,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.7443207722102457,0.06744943210884294,0.4968181818181818,0.7048581681476419,0.7478787878787879,0.7949242424242425,0.8633333333333333
KNORAE,100.0,0.8422446182375235,0.024047946208689604,0.7898089171974523,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.9681528662420382,100.0,0.1663504797226477,0.01721581442763738,0.1464968152866242,0.1592356687898089,0.1592356687898089,0.1656050955414012,0.267515923566879,100.0,0.16011815661122458,0.0032529207776998974,0.1483870967741935,0.1592356687898089,0.1592356687898089,0.1602564102564102,0.1714285714285714,100.0,0.9939999999999999,0.017407765595569783,0.92,1.0,1.0,1.0,1.0,100.0,0.2757903885149385,0.005024893851727709,0.2555555555555555,0.2747252747252747,0.2747252747252747,0.2762430939226519,0.2909090909090909,100.0,0.7012832281753334,0.06155529476352172,0.4601515151515152,0.668245898838004,0.7046969696969697,0.7352651515151516,0.8583333333333334
LogisticRegression,100.0,0.7164165927598163,0.07264399142420952,0.535031847133758,0.6624203821656051,0.7261146496815286,0.7733814399741998,0.8407643312101911,100.0,0.304191324679513,0.08367558203155509,0.1592356687898089,0.2420382165605095,0.28980891719745216,0.3630573248407643,0.554140127388535,100.0,0.18675894939897553,0.018350293839842845,0.1592356687898089,0.17331178160919541,0.1824817518248175,0.1968503937007874,0.2527472527472527,100.0,0.985676923076923,0.02690826099161689,0.88,0.9615384615384616,1.0,1.0,1.0,100.0,0.31350555441406597,0.025057063378760708,0.2747252747252747,0.2954229028889662,0.3081671415004748,0.3289473684210526,0.396551724137931,100.0,0.8321667096061834,0.0465778659848524,0.7209090909090909,0.7927272727272727,0.8333333333333334,0.868345864661654,0.9290909090909092
METADES,100.0,0.8399512214786747,0.002499710900716594,0.8280254777070064,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.16004877852132546,0.0024997109007165686,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1719745222929936,100.0,0.15972866616157255,0.001707425194241994,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1656050955414012,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2754549964215912,0.002530089044525369,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2841530054644808,100.0,0.7398629651050702,0.06384142085137674,0.521203007518797,0.7077185314685315,0.7408316245158351,0.7834090909090909,0.8521212121212122
MLA,100.0,0.8395767153108121,0.022843475288772726,0.740506329113924,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.9044585987261148,100.0,0.1684378779327581,0.02203290673936562,0.1528662420382165,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.2594936708860759,100.0,0.160540216063328,0.003809316140034396,0.1538461538461538,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.176056338028169,100.0,0.9944461538461539,0.014958984028195855,0.92,1.0,1.0,1.0,1.0,100.0,0.2764233847106104,0.005590766164863392,0.2651933701657458,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2994011976047904,100.0,0.6407718715495031,0.07128609681973129,0.4618181818181818,0.594280303030303,0.648289627039627,0.6937922494172495,0.8009090909090908
RandomForestClassifier,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.790784381846224,0.049162665892233705,0.6654545454545455,0.756284965034965,0.7953030303030303,0.8226076555023923,0.9084848484848485
SGDClassifier,100.0,0.6984455373699913,0.10336185310693079,0.4522292993630573,0.6550129001048133,0.7006369426751592,0.7643312101910829,1.0318471337579618,100.0,0.3972107554623881,0.16018829022683803,0.1656050955414012,0.286624203821656,0.34286059824236065,0.4665605095541401,0.8407643312101911,100.0,0.2161418385889709,0.0628347504074785,0.1602564102564102,0.1824817518248175,0.1935483870967742,0.22348548064085444,0.5,100.0,0.9332615384615386,0.11777889466880938,0.4,0.92,1.0,1.0,1.0,100.0,0.3414274211923989,0.05556407872088993,0.2762430939226519,0.3063888888888888,0.3223641480840008,0.3611793611793611,0.5316455696202531,100.0,0.8005509253903992,0.0620508028877832,0.575,0.7679126794258373,0.806188767372978,0.8447348484848485,0.9048484848484848
StackingClassifier,100.0,0.531588325405144,0.09954653737781544,0.3312101910828025,0.47225469644440854,0.5286624203821656,0.5987261146496815,0.8734177215189873,100.0,0.6103886156575021,0.07675958764462276,0.4203821656050955,0.552547770700637,0.6114649681528662,0.6592759816173506,0.8407643312101911,100.0,0.2845288366637634,0.04442452836071344,0.2115384615384615,0.2528130671506352,0.2763157894736842,0.3053252032520325,0.5,100.0,0.9011692307692307,0.07213741792391894,0.64,0.84,0.92,0.96,1.0,100.0,0.4296545390947875,0.04661706020921835,0.3410852713178294,0.3953203012608953,0.4210526315789473,0.4603846153846154,0.5901639344262295,100.0,0.8615010743642324,0.04120097594167499,0.7424242424242425,0.8387878787878789,0.865,0.8881818181818181,0.937878787878788
